,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
87,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1152926,megawatthours
88,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1153366,megawatthours
89,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1152449,megawatthours
90,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1152010,megawatthours
91,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1152539,megawatthours
92,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1151789,megawatthours
93,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1151980,megawatthours
94,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1152539,megawatthours
95,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1153270,megawatthours
96,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1150552,megawatthours
97,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1151113,megawatthours
98,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1151551,megawatthours
99,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1150552,megawatthours
100,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1150092,megawatthours
101,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-1892,megawatthours
102,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-1809,megawatthours
103,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-1810,megawatthours
104,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-1892,megawatthours
105,2024-11-11,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-1914,megawatthours
106,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1105152,megawatthours
107,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1105241,megawatthours
108,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1104852,megawatthours
109,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1105152,megawatthours
110,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1104965,megawatthours
111,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1118134,megawatthours
